Short name,Official name,English name ,Municipality ,Address,Coordinates,URL,Designated,Criteria,Description,Short description,Object type,Construction year,Architect
Begova džamija,Graditeljska cjelina – Gazi Husrev-begova (Begova) džamija u Sarajevu,"Gazi Husref-bey (Bey’s) mosque, the architectural ensemble",Sarajevo - Stari Grad ,"Sarači br. 8, Baščaršija, 71000 Sarajevo","43.8593164 N18.428668 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2897?return=&search=idgrad:undefined:86|,10/11/2006,"A, B, C(i,ii,iii,iv,v,vi), D(ii,iii,iv,v), E(i,ii,iii,iv,v), F(i,ii,ii)","Graditeljska cjelina se sastoji od se sastoji od: džamije, Gazi Husrev-begovog i Murat-begovog turbeta, dvorišta sa grobljem, abdesthanom sa vrućim česmama, šadrvana, muvekkithane i mjesta starog mekteba. Gazi Husrev-begova džamija pripada tipu potkupolnih džamija sa otvorenim vanjskim trijemom koji je natkriven  sa pet kupola i kamenim minaretom prislonjenim uz desnu stranu. Predstavlja jedno od najljepših djela arhitekture osmanskog perioda u Bosni i Hercegovini. Džamija ima složeno arhitektonsko rješenje gdje je centralni molitveni prostor pokriven jednom kupolom, jednom polu-kupolom, a bočna proširenja (tetime) sa po još jednom kupolom. Mihrab sa stalaktitnom dekoracijom izrađen je od raznobojnih mermera. Desno od mihraba je minber, urađen od sitnozrnog pješčara i mermera. Mahfil počiva na osam mramornih stubova. Karakteristika unutrašnjosti džamije je stalaktitna dekoracija I ornamentika i kaligrafija svih zidova. Na istočnoj strani džamije nalaze se dva turbeta. U većem turbetu je grob osnivača džamije, Husrev-bega, a u manjem Gazi Murat-bega Tardića, prvog mutevelije i najboljeg Gazi Husrev-begovog prijatelja. ","Graditeljska cjelina se sastoji od: džamije, Gazi Husrev-begovog i Murat-begovog turbeta, dvorišta sa grobljem, abdesthanom sa vrućim česmama, šadrvana, muvekkithane i mjesta starog mekteba.",Sakralni objekat (džamija),1530./31. godine,Acem Esir Ali
Gospođicina kuća,Istorijska građevina – „Gospođicina kuća” u ulici Hamdije Kreševljakovića broj 1 u Sarajevu,"‘Missie’s House’ at no. 1 Hamdije Kreševljakoviæa Street, the historic building",Sarajevo - Centar ,"Hamdije Kreševljakovića br. 1, Skenderija, 71000 Sarajevo","43.8559238 N18.4152661 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3340?return=&page=2&search=idgrad:undefined:86|,11/3/2011,"A, C(i,ii,iii,iv,v), F(ii), G(i,ii,iii,v), H(i), I(i,ii,iii)","„Gospođicina kuća” u Sarajevu, jedan je od rijetkih objekata bosanskohercegovačke arhitekture austrougarskog perioda sa zidnim slikama izvedenim u zgrafito tehnici. Ovaj stambeni objekat predstavlja jedan od malobrojnih primjera stambene arhitekture na prijelazu između stambene vile i palate u malom. Zidne slike na sjevernoj fasadi – tri panela između prozora dimenzija približno 105 cm x 205 cm i pojas iznad prozora i panela – izvedene su u zgrafito tehnici i predstavljaju najvredniji likovni i estetski element ove historijske građevine. Predstave su po odorama i atributima preuzete iz rimske mitologije.",„Gospođicina kuća” jedan je od rijetkih objekata bosanskohercegovačke arhitekture austrougarskog perioda sa zidnim slikama izvedenim u zgrafito tehnici.,Stambeni objekat,prije 1905. godine.,Arhitekta nepoznat
Markale,"Historijski spomenik – Gradska tržnica (Markale, ili Markthalle) u Sarajevu","Central Market Building (Markale, or Markthalle), the historic monument",Sarajevo - Stari Grad ,"Mula Mustafe Bašeskije 4a, Gajev trg, 71000 Sarajevo","43.8589484 N18.4230685 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3024?return=&page=2&search=idgrad:undefined:86|,29/3/2008,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii), F(i,ii,iii), G(i,ii,iii), H(i)","Sa urbanističkog stanovišta Gradska tržnica je prepoznatljiv reper grada, a njena funkcija , kao jednog od snabdjevačkih centara grada, ostala je nepromijenjena od 1895. godine sve do danas. Naziv Markt-halle, (tržnica, tržna hala), je vremenom, u svakodnevnoj govornoj upotrebi, „iskrenut“ u naziv Markale koji se zadržao do danas. Tržnica ima dva ulaza za potrošače: glavni, na južnoj strani od ulicen Ferhadija, te pomoćni, na sjevernoj strani od ulice Mula Mustafe Bašeskije. Zidne plohe fasada su riješene u vidu glatke kvaderske rustike, a samo su uglovi zgrade istaknuti dubokom kvaderskoj rustikom. Objekat je projektovan u duhu neorenesansne arhitekture. ",Gradska tržnica projektovana je u duhu neorenesansne arhitekture. Svoj probitni izgled zadržala je do danas.,Javni objekat (tržnica),1895. godina,"Josip pl. Vancaš, August Butscha"
Vijećnica,Istorijska građevina – Gradska vijećnica u Sarajevu,"City Hall, the historic building",Sarajevo - Stari Grad ,"Obala Kulina bana br. 1, Baščaršija, 71000 Sarajevo","43.859123 N18.4332254 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2860?return=&page=2&search=idgrad:undefined:86|,5/9/2006,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii), F(i,ii,iii), G(i,ii,iii), H(i)","Vijećnica predstavlja jedan od najljepših i najreprezentativnijih objekata iz austrougarskog perioda građen u pseudo-maurskom stilu. Prvobitno je Vijećnica bila zgrada tadašnje gradske uprave i gradske administracije Sarajeva. Nakon Drugog svjetskog rata, sve do 1949. godine Vijećnica je služila gradskoj upravi, kao zgrada Okružnog suda Sarajeva i sjedište Bosanskohercegovačkog sabora. Nakon toga Vijećnica postaje Gradska biblioteka, odnosno Nacionalna i univerzitetska biblioteka Bosne i Hercegovine. Nakon što je izvršena rekonstrukcija Vijećnice koja je bila uništena u ratu 1992/95. godine, objekat je svečano otvoren 9. maja 2014. godine. Vijećnica je najreprezentativniji objekat izgrađen u pseudomaurskom maniru, u epohi istoricističke arhitekture XIX vijeka, podignut u vrijeme austro-ugarske perioda u Bosni i Hercegovini. ","Vijećnica je najreprezentativniji objekat izgrađen u pseudomaurskom maniru,  podignut u vrijeme austrougarskog perioda u Bosni i Hercegovini.",Javni i upravni objekat (Vijećnica),1896. godina,"Karel Pařík, Alexander Wittek, Ćiril Iveković"
Grupa zgrada u Kotromanićevoj ulici,"Graditeljska cjelina – grupa zgrada u Kotromanićevoj ulici (Kotromanićeva br. 36, br. 38. i zgrada na uglu Kotromanićeve i ul. Kalmija Baruha) u Sarajevu","Group of buildings in Kotromanićeva St. (nos. 36 and 38 Kotromanićeva St. and the building on the corner of Kotromanićeva and Kalmija Baruha streets), the architectural ensemble",Sarajevo - Centar ,"Kotromanićeva br. 36, br. 38, br. 5, 71000 Sarajevo","43.8551198 N18.4100547 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3747?return=&page=2&search=idgrad:undefined:86|,3/9/2013,"A, C(ii,iii,iv), D(v), F(ii), G(i,v), I(i,ii)","Graditeljska cjelina Kotromanićeva ulica u Sarajevu predstavlja jednu od posljednjih očuvanih cjelina iz austrougarskog perioda na području Marijin-dvora uz rijeku Miljacku. Graditeljska cjelina ima visoku ambijentalnu, istorijsku i dokumentarnu vrijednost. Objekti su izgrađeni u duhu secesije, ali sa velikim brojem istoricističkih elemenata. Stambeno-poslovna zgrada Andrije Janeža, na uglu ulica Kotromanićeva i Kalmija Baruha je izgrađena 1912. godine po nacrtima građevinskog preduzetnika Ernesta Schnaubelta.  Stambena vila Ernesta i Marije Schnaubelt iz 1908. godine, ulica Kotromanićeva br. 38. je prema natpisu na sačuvanom dijelu projekta djelo istog autora, iako postoje pretpostavke da je autor arhitekta Zlatko Pop Alamur. Stambena vila Ernesta i Marije Schnaubelt iz 1909. godine, ulica Kotromanićeva br. 36, predstavlja njihovu drugu po redu izgrađenu vilu. Radi se takođe o projektu Ernesta Schnaubelta u duhu eklektike. ","Graditeljska cjelina Kotromanićeva ulica u Sarajevu predstavlja jednu od posljednjih očuvanih cjelina iz austrougarskog perioda na području Marijin-Dvora, uz rijeku Miljacku.",Stambeno-poslovni objekat,"1908. godina (Kotromanićeva br. 38)
1909. godina (Kotromanićeva br. 36)
1912. godina (Kotromanićeva br. 5)",Ernest Schnaubelt
Hadži Sinanova tekija,"Ambijentalna cjelina Hadži Sinanove (Silahdar Mustafa-paše) tekije sa Sarač Alijinom džamijom i mezarjem uz nju u Sarajevu","Hajji Sinan tekke and Sarač Alija mosque with burial ground, the landscape ensemble",Sarajevo - Stari Grad ,"Sagrdžije bb, 71000 Sarajevo","43.8638975 N18.4297796 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2534?return=&page=2&search=idgrad:undefined:86|,16/3/2005,"A, B, C(i,ii,iii,iv,v), D(ii,iii,iv), E(i,ii,iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i), I(i,ii,iii,iv)","Hadži Sinanova tekija u Sarajevu je jedna od najznačajnijih tekija u Bosni i Hercegovini i pripada kaderijskom tarikatu. Duhovni centar pripadnika kaderijskog reda jeste Bagdad (Irak), gdje je smještena glavna tekija i turbe osnivača reda Abdul-Kadira Gejlani. U narodu je prozvana Hadži Sinanova, dok se u službenim dokumentima javlja naziv tekija Silahdar Mustafa-paše. Džamija Sarač Alije se prvi put pominje 1528. godine. O osnivaču džamije se, kako je vidljivo iz samog naslova, zna da je bio sarač. Drugih podataka o njemu nema, a nije sačuvan ni tarih (natpis iznad ulaza) džamije. Likovnu vrijednost tekije pojačava pozicija u ambijentu, proporcijski odnosi u okviru ansambla kao i proporcijski odnosi u širem obuhvatu. Zidovi tekije su oslikani kaligrafskom dekoracijom.",Hadži Sinanova tekija sa džamijom Sarač Alije je jedna od najznačajnijih tekija u Bosni i Hercegovini i pripada kaderijskom tarikatu.,Sakralni objekat (tekija i džamija),"1528. godina (Džamija)1638. godina (Tekija)",Mimar Kasim-aga
Hadžijska džamija,Graditeljska cjelina – Hadžijska (Vekil Harčova) džamija u Sarajevu,"Hajjis’ (Hadžijska, Vekil Harè) mosque, the architectural ensemble",Sarajevo - Stari Grad ,"Veliki Alifakovac bb, 71000 Sarajevo","43.8584983 N18.4345428 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2554?return=&page=2&search=idgrad:undefined:86|,4/5/2005,"A, B, C(i,ii,iii,iv,v,vi), D(iv,v), E(i,ii,iii,iv,v), F(ii,iii,iv)","Shodno konceptu prostorne organizacije, Hadžijska (Vekil Harčova) džamija u Sarajevu pripada jednoprostornim džamijama sa otvorenim trijemom, pod četvorovodnim krovom i sa kamenom munarom. Na zidovima džamije nalazi se ukupno 16 prozorskih otvora koji su postavljeni u dva horizontalna pojasa. Mihrab je jednostavne profilacije, mahfil od drveta se pruža čitavom dužinom sjeverozapadnog zida, a minber od drveta je novije izrade. Sa jugozapadne i sjeverozapadne strane džamije smješteno je groblje sa 56 nišana, od kojih 21 ima epitafe. Na jugozapadnom dvorišnom zidu nalazi se glavni ulaz u harem i česma „pod Alifakovcem“.","Hadžijska džamija pripada jednoprostornim džamijama sa otvorenim trijemom, pod četvorovodnim krovom i sa kamenom munarom.",Sakralni objekat (džamija),između 1541. i 1561. godine,Arhitekta nepoznat
Velike Daire,Graditeljska cjelina – Hadžimuratovića Daire (Velike Daire) u Sarajevu,"Hadžimuratović Daira (the Large Daira), the architectural ensemble",Sarajevo - Stari Grad ,"Halači br. 5, Baščaršija, 71000 Sarajevo ","43.8587571 N18.4288224 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2964?return=&page=2&search=idgrad:undefined:86|,23/5/2007. ,"A, B, C(iii,iv,vi), D(ii,iv,v), E(iii), F(i,ii,iii), G(i,iii,v), H(i), I(i,ii)","Daira je arapska riječ i znači krug, kružnica, a u arhitektonskom smislu označava poseban skup trgovačkih magaza (robnih skladišta) formiranih oko jednog zajedničkog dvorišta pod jednim krovom i sa jednim zajedničkim ulazom s ulice u dvorište. Magaze u dairi smještene su oko manjeg ili većeg centralnog dvorišta tako da ga one u stvari okružuju, odakle i potiče njihov naziv. Od pet sarajevskih daira jedna je sagrađena u Halačima (Hadžimuratovića), druga blizu Careve ćuprije i Tabačke džamije (Hadži Bešlijina), treća kraj Čekrekčijine džamije (Hadžigazanferova) u Novoj Testi ulici, četvrta uz Staru pravoslavnu crkvu (Crkvena), a peta u današnjoj Kundurdžiluk ulici. Graditeljska cjelina Hadžimuratovića Daira u Halačima predstavlja značajnu istorijsku urbanističko-arhitektonsku cjelinu koja je pretežno zadržala karakteristike urbanizma i arhitekture formirane u osmanskom periodu razvoja sarajevske čaršije, sa objektima koji imaju arhitektonsko-istorijsku i ambijentalnu vrijednost.",Hadžimuratovića Daira u Halačima predstavljaju značajnu urbanističko-arhitektonsku cjelinu koja je zadržala karakteristike urbanizma i arhitekture formirane u osmanskom periodu.,Privredni i ugostiteljski objekat (skladište i restoran),1776. godina,Arhitekta nepoznat
Hadžišabanovića kuća,Stambena graditeljska cjelina - Hadžišabanovića kuća u Sarajevu,"Hadžišabanović’s family house, the residential architectural ensemble",Sarajevo - Stari Grad ,"Očaktanum bb, 71000 Sarajevo","43.8624758 N18.4328056 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3060?return=&page=2&search=idgrad:undefined:86|,4/11/2008,"A, B, C(ii,iii,iv,v), D(iv,v), E(iii,v), F(ii,iii), G(iii,iv,v)","Objekat Hadžišabanovića kuće je imao razruđene tlocrtne osnove prizemne i spratne etaže, posebno svoje južne fasade što je rezultat uvažavanja potreba za što više sunca i svjetla, dobrog vidika, potrebe za intimnošću, te orijentacije reprezentativnim prostorija kuće prema avlijama, odnosno prema južnoj strani. Kuća je još u XVIII vijeku imala svoj vodovod. U konceptualnom smislu, kuća je imala asimetričnu dispoziciju, a u funkcionalnom smislu podijeljena je, po vertikali, u selamluk, dio na istočnoj strani objekta, te haremluk, dio na zapadnoj strani objekta. U kući su snimljeni kultni filmovi „Miris dunja“, „Azra“ i „Valter brani Sarajevo“. Hadžišabanovića kuća je stradala u požaru 2009. godine. ","U Hadžišabanovića kući iz osmanskog perioda su snimljeni kultni filmovi „Miris dunja“, „Azra“ i „Valter brani Sarajevo“. Kuća je stradala u požaru 2009. godine.",Stambeni objekat (porodična kuća),sredina XVIII vijeka,Arhitekta nepoznat
Hastahana,Graditeljska cjelina - Hastahana (zgrada Vakufske bolnice) u Sarajevu,"Hastahana (Vakuf Hospital building), the architectural ensemble",Sarajevo - Stari Grad ,"Halilbašića bb, 71000 Sarajevo","43.8602055 N
18.4343823 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2909?return=&page=2&search=idgrad:undefined:86|,18//3/2007,"A, B, C(iii,iv), D(ii,v), E(iii), F(ii,iii), G(i,iii), H(i), I(i,ii,iii)","Zgrada Vakufske bolnice izgrađena je iz sredstava Gazi Husrev-begova vakufa namjenski za bolnicu. To je bila zgrada prve bolnice na području Bosne i Hercegovine i sa svoja 32 ležaja je predstavljala savremeni zdravstveno-zaštitni objekt. Vakufska bolnica u Sarajevu je do dolaska austrougarske uprave bila jedini bolnički objekt u gradu Sarajevu. O bjekt je projektiran i izgrađen kao slobodnostojeći objekt sa masivnim konstruktivnim zidovima zidanim ćerpićem i opekom (40x60x80 mm). Ploče – stropovi su izvedeni od drvene rezane građe – drvena konstrukcija. Bolnica je kasnije pretvorena u stambenu zgradu. Objekat se trenutno nalazi u lošem stanju; veći dio objekta je porušen, a ostaci se urušavaju zbog neodržavanja","Bila je zgrada prve bolnice u BiH, a do dolaska austrougarske uprave jedini bolnički objekt u Sarajevu.","Zdravstveni, javni objekat (bolnica)",1866. godina,Arhitekta nepoznat
Hotel Stari Grad,"Graditeljska cjelina – Hotel Stari Grad (nekadašnji han Gazi Husrevbegovog vakufa, Hotel Gazi) i stambeni objekat Kadić, djelo arhitekte Josipa Vancaša, u Sarajevu","Stari Grad Hotel (former khan belonging to the Ghazi Husrev Bey’s vakuf, Ghazi Hotel) and the residential building Kadiæ, the architectural ensemble",Sarajevo - Stari Grad ,"Mula Mustafe Bašeskije br. 57, 71000 Sarajevo","43.8599901 N
18.4307379 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3005?return=&page=2&search=idgrad:undefined:86|,30/1/2008,"A, C(i,ii,iii,iv,v), D(iii,iv), F(i,ii), G(i,ii,v), H(iii), I(i,ii,iii,iv)","Hotel je izgrađen nakon što je 1908. godine u požaru izgorio raniji vakufski objekat koji je imao funkciju prenoćišta. Kompleks predstavlja stambeno-poslovnu višespratnicu sa podrumom, prizemljem, dva sprata i tavanom. Kompleks je funkcionalno i vlasnički podijeljen u veće istočno krilo, koje predstavlja poslovni dio u vlasništvu Gazi Husrevbegovog vakufa, i manje zapadno krilo u vlasništu porodice Kadić. Hotel je projektovan u duhu bosanskog-sloga, sa jakim lokalnim uticajima i zadržanim prostornim karakteristikama objekata projektovanih u neo stilovima u austrougarskom periodu. Nekadašnji hotel (sada poslovna zgrada) Gazi Husrev-begovog vakufa i stambeni objekat Kadić nalaze se u vrlo dobrom konstruktivnom stanju. Glavne fasade i unutrašnjost objekta su sanirani i redovno održavani.","Hotel je projektovan u duhu bosanskog sloga, sa jakim lokalnim uticajima i zadržanim prostornim karakteristikama objekata projektovanih u neo stilovima u austrougarskom periodu.","Poslovni i stambeni objekat (hotel, poslovni prostori, stanovi)",1909. godina,"Josip pl. VancašJosip Pospišil"
Hotel Zagreb,Istorijska građevina – Hotel Zagreb u Sarajevu,"Zagreb Hotel, the historic building",Sarajevo - Centar ,"Valtera Perića br. 1, 71000 Sarajevo","43.8563397 N
18.4093102 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3342?return=&page=2&search=idgrad:undefined:86|,11/3/2011,"A, C(i,ii,iii,iv,v), D(iii,iv), F(i,ii), G(i,ii,v), H(iii), I(i,ii,iii,iv)","Hotel Zagreb posjeduje veliku ambijentalnu i dokumentarnu vrijednost u okviru gradske ambijentalne cjeline Titove ulice i Marijinog Dvora. Objekat je građen tokom prve faze austrougarskog perioda u duhu istoricizma. Doživio je radikalnu transformaciju u periodu između dva svjetska rata, kada su od strane pobornika moderne u Sarajevu uklonjeni istoricistički dekorativni elementi, a objekat usklađen sa aktuelnim estetskim tokovima. Iako se iz današnje perspektive takve aktivnosti vezane za graditeljsko naslijeđe čine neprihvatljivim, pojedini objekti na kojima su izvršene te vrste transformacija danas imaju veliku istorijsku i dokumentarnu vrijednost o modernističkom detradicionaliziranju istoricističkih građevina, te kao takvi svjedoče o istorijskoj slojevitosti i predstavljaju neraskidivi dio urbane istorije centralnog dijela Sarajeva.",Hotel Zagreb je izgrađen u austrougarskom periodu. Na zgradi su kasnije izvršene brojne adaptacije i prepravke.,"Poslovni, ugostiteljski, hotelski objekat ",1898. godina,Karel Pařík (pretpostavka)
Isa-begova zavija,Prirodno-graditeljska cjelina - Isa-begova zavija u Sarajevu,"Isa-bey zawijah, the natural and architectural ensemble",Sarajevo - Stari Grad ,"Dariva bb, 71000 Sarajevo","43.8589527 N18.4352858 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2539?return=&page=2&search=idgrad:undefined:86|,16/3/2005,"A, B, D(ii,iv,v), E(i,ii,iii,iv,v), F(i,ii)","Nacionalni spomenik se sastoji od: arheološkog lokaliteta Isa-begove tekije i mezarja derviša u avliji, lokaliteta Šehove korije sa vrelom Ebu Hayat, dva derviška nišana i pećinom – ćilehanom. Isa-begova tekija i musafirhana više puta su obnavljane. U velikom požaru 1697. godine izgorjela su oba objekta. Kasnije su na njihovim temeljima podignute nove zgrade čija godina gradnje nije poznata. Zavija je 1957. godine srušena, a njeni temelji zatrpani nanosima zemlje u cilju regulacije i izravnavanja terena. Ispod nasipa su ostali neki od mezara zavijskih prvaka. Nema nikakvih podataka da li je prije radova na rušenju kompleksa izvršena njihova ekshumacija. Širi prostor tekije je također devastiran kasnijom izgradnjom novih sadržaja – benzinske pumpe, hotela, parkirališta, i dr. Nekontrolisanom gradnjom u potpunosti je narušen cjelokupni ambijent.","Nacionalni spomenik se sastoji od: arheološkog lokaliteta Isa-begove tekije i mezarja derviša u avliji, lokaliteta Šehove korije sa vrelom Ebu Hayat, dva derviška nišana i pećinom – ćilehanom.","Sakralni objekat (tekija), groblje, arheološki lokalitet",prije 1462. godine,Arhitekta nepoznat
Kasarna Jajce,Graditeljska cjelina – Jajce kasarna u Sarajevu,"Jajce military barrack, the architectural ensemble",Sarajevo - Stari Grad ,"Pod bedemom bb, Vratnik, 71000 Sarajevo","43.8606829 N18.4396607 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3224?return=&page=2&search=idgrad:undefined:86|,13/5/2009,"A, B, C(ii,iii,iv,vi), D(i, ii,iv), F(ii,iii), G(i,ii,v), H(i), I(i)","Kompleks vojnih objekata Jajce kasarne, građenih etapno od austrougarskog perioda pa do 1948. godine, svjedoči o kontinuitetu građenja fortifikacijskih objekata na tom strateškom području (Vratnik) od srednjovjekovnog perioda, pa sve do druge polovine XX vijeka, kada su na bliskom području izgrađene kasarne koje su služile tadašnjoj JNA. Najznačajniji objekat unutar kompleksa je „Jajce kasarna“, čija je gradnja u današnjem obliku završena 1914. godine. Jajce kasarna je, uz kasarnu na Bistriku koja je građena 1901. godine, u arhitektonsko - oblikovnom i konstruktivnom smislu, najsloženiji vojni objekat u BiH iz austrougarskog perioda, za čiju je gradnju i razvoj usko vezana istorija Sarajeva. Jajce kasarna se nalazi na dominantnoj poziciji iznad Sarajeva i vidljiva je sa skoro svih tačaka u gradu","Kasarna Jajce potiče iz austrougarskog perioda, a radovi na kompleksu su trajali sve do 1948. godine. Objekti kompleksa se nalaze u ruševnom stanju i nisu u upotrebi.",Vojni objekat (kasarna),1914. godina,Arhitekta nepoznat
Jevrejsko groblje,Grobljanska cjelina – Jevrejsko groblje u Sarajevu,"Jewish cemetery in Sarajevo, the burial ground ensemble",Sarajevo - Centar ,"Urijan Dedina bb, 71000 Sarajevo","43.8509214 N
18.407059 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2502?return=&page=2&search=idgrad:undefined:86|,30/8/2004,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii,iii,iv,v), E(iii,v), F, G(v), H, I(i,ii,iii)","Staro jevrejsko groblje u Kovačićima predstavlja, iza praškog groblja, najveći jevrejski sepulkralni kompleks u Evropi. Istovremeno ovo groblje predstavlja jedan od najvrednijih memorijalnih kompleksa u svijetu. Unutar njega zabilježen je, specifičnom fakturom, značajan i nezaobilazan segment hronike Jevreja počevši od sredine XVI vijeka, pa sve do zatvaranja nekropole, 1965. godine. Godine 1952. u groblju je podignut spomenik žrtvama fašističkog terora, djelo ing. arh. Jahiela Fincija. U groblju se nalazi i velika aškenaska kosturnica autora ing. arh. Zlatka Ugljena, iz 1962. godine, koja je podignuta nakon ekshumacije starog i novog aškenaskog groblja, 1950. godine.","Staro jevrejsko groblje u Kovačićima predstavlja, iza praškog groblja, najveći jevrejski sepulkralni kompleks u Evropi. ",Groblje,1630. godina,Arhitekta nepoznat
Katedrala,Istorijska građevina – Katedrala (Katedrala-Crkva Srca Isusova) u Sarajevu,"Cathedral (Cathedral Church of the Heart of Jesus), the historic building",Sarajevo - Stari Grad ,"Trg Fra Grge Martića br. 2, 71000 Sarajevo ","43.8592918 N18.4253936 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2518?return=&page=2&search=idgrad:undefined:86|,25/1/2005,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii,iii,iv,v), E(i,ii,iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i,ii,iii), I(i,ii,iii,iv)","Nadbiskup Josip Štadler i ministar Benjamin von Kállay su za izradu projekata Katedrale odabrali arhitektu Josipa pl. Vancaša koji je sa samo 24 godine samostalno izradio projekat današnje katedrale Presvetog Srca Isusova (1884. počela gradnja). Manje ispravke napravio je njegov profesor Friedrich von Schmidt (projektovao je Bečku vijećnicu). Pročelje katedrale (osnova 42x21m) je flankirano sa dva tornja od 43 metra. Pod zabatom pročelja je rozeta izvedena od dva niza gotičkih elemenata. Na vrhu potrala je kip Srca Isusova, djelo bečkog kipara Hausmanna. Katedrala je izgrađena u stilu rane gotike sa elementima romanike. U oltaru je smješten kip Srca Isusova, rad Franza Erlera iz Beča. Freske u katedrali, atipičan vid oslikavanja katoličke crkve nisu očuvane, pa su njihova mjesta postavljene kopije urađene u tehnici ulje na platnu slikara Ante Martinovića.","Katedrala je izgrađena u stilu rane gotike sa elementima romanike. U oltaru je smješten kip Srca Isusova, a freske koje su atipičan vid oslikavanja katoličke crkve nisu očuvane.",Sakralni objekat (katedrala),1889. godina,Josip pl. Vancaš 
"Kazandžiluk, Male Daire i Luledžina ulica","Ambijentalna cjelina – Kazandžiluk, Male Daire i Luledžina ulica u Sarajevu","Kazandžiluk, Male Daire and Luledžina Streets, the streetscape",Sarajevo - Stari Grad ,"Kazandžiluk, Male Daire i Luledžina ulica, Baščaršija, 71000 Sarajevo ","43.8593095 N
18.4312383 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3258?return=&page=2&search=idgrad:undefined:86|,7/7/2009,"A, B, C(iii,iv,v), D(ii,iv,v), E(iii,vi), F(i,ii,iii), G(iii,iv,v), I(iii)","Pored očuvanosti samog tkiva ambijentalne cjeline Kazandžiluka, Malih Daira i Luledžine ulice, posebnu vrijednost daje i očuvanost kazandžijskog zanata. Kazandžiluk, Male Daire i Luledžina ulica, skup dućana i magaza koji formiraju tri ulice, danas, posmatrano u arhitektonsko-urbanističkom i funkcionalnom pogledu, predstavlja jednu od najočuvanijih ambijentalnih cjelina Baščaršije, sa očuvanom morfologijom ulica, izgledom, oblikovanjem i proporcijskim odnosima dućana i magaza.  Očuvanje tradicije zanata  - izrada i prodaja kazandžijskih predmeta, predstavlja rijetkost u današnjoj Sarajevskoj čaršiji u kojoj o zanatima u pojedinim ulicama kao i o pojediniom zanatima često govore jedino nazivi ulica u kojima su se nekada nalazili.","Kazandžiluk, Male Daire i Luledžina ulica, skup dućana i magaza koji formiraju tri ulice posmatrano u arhitektonsko-urbanističkom i funkcionalnom pogledu predstavlja jednu od najočuvanijih ambijentalnih cjelina Baščaršije.","Poslovni objekti, prodajni objekti (dućani), ulice",od polovine XV do polovine XVI vijeka,Arhitekta nepoznat
